date_q,ticker,price,assetTurnover,bookValue,cashRatio,currentRatio,ebitPerShare,eps,ev,fcfMargin,fcfPerShare,grossMargin,inventoryTurnover,longtermDebtTotalAsset,longtermDebtTotalCapital,longtermDebtTotalEquity,netDebtToTotalCapital,netDebtToTotalEquity,netMargin,operatingMargin,payoutRatio,pb,pe,pfcf,pretaxMargin,ps,ptbv,quickRatio,receivablesTurnover,roa,roe,roic,rotc,salesPerShare,sgaToSale,tangibleBookValue,totalDebtToEquity,totalDebtToTotalAsset,totalDebtToTotalCapital,totalRatio,finnhubIndustry,roa_sector_ratio,roe_sector_ratio,roic_sector_ratio,rotc_sector_ratio,ev_sector_ratio,ebitPerShare_sector_ratio,sentiment_avg_q,sentiment_sd_q,sentiment_num_q
2021-12-31,AERT,9.780725971344978,,,1.2850503090045458,2.3068,-0.0086,-0.0905,,,,,,,,,0.772,,,,,,,,,,,1.2851,,,,,,,,,,0.0009,1.0362,11.1071,Professional Services,,,,,,0.0029681402490412,,,
2021-12-31,AFBI,15.492435486085954,,121.0,,,,,105.839,,1.6697,,,,,,,,,,,0.8747,13.9629,5.5228,,,1.0346,,,0.0096,0.064,0.064,,,,102.3,0.0,0.0,0.0,1.1814,Banking,1.000048116248857,0.6349410012601672,0.926457117258072,,1.6112393419718587e-05,,,,
2021-12-31,AFG,107.32989428120274,0.1251,5240.0,20.830882352941178,8.0662,5.5059,4.1765,9802.4,0.4072,21.6471,,,0.0656,0.2726,0.3748,-0.1206,-0.1658,0.202,0.2664,0.7277,2.0365,5.8375,4.3912,0.2533,1.7791,2.0479,8.0662,,0.0451,0.3836,0.29,0.1653,20.6706,,5211.0,0.3748,0.0656,0.2726,1.2121,Insurance,-0.6485501536521945,3.648024002625287,3.4556546694974277,2.3252169433767884,0.9323074028926256,2.1616376674767217,,,
2021-12-31,AFG,107.32989428120274,0.1251,5240.0,20.830882352941178,8.0662,5.5059,4.1765,9802.4,0.4072,21.6471,,,0.0656,0.2726,0.3748,-0.1206,-0.1658,0.202,0.2664,0.7277,2.0365,5.8375,4.3912,0.2533,1.7791,2.0479,8.0662,,0.0451,0.3836,0.29,0.1653,20.6706,,5211.0,0.3748,0.0656,0.2726,1.2121,Insurance,-0.6485501536521945,3.648024002625287,3.4556546694974277,2.3252169433767884,0.9323074028926256,2.1616376674767217,,,
2021-12-31,AFG,107.32989428120274,0.1251,5240.0,20.830882352941178,8.0662,5.5059,4.1765,9802.4,0.4072,21.6471,,,0.0656,0.2726,0.3748,-0.1206,-0.1658,0.202,0.2664,0.7277,2.0365,5.8375,4.3912,0.2533,1.7791,2.0479,8.0662,,0.0451,0.3836,0.29,0.1653,20.6706,,5211.0,0.3748,0.0656,0.2726,1.2121,Insurance,-0.6485501536521945,3.648024002625287,3.4556546694974277,2.3252169433767884,0.9323074028926256,2.1616376674767217,,,
2021-12-31,AFG,107.32989428120274,0.1251,5240.0,20.830882352941178,8.0662,5.5059,4.1765,9802.4,0.4072,21.6471,,,0.0656,0.2726,0.3748,-0.1206,-0.1658,0.202,0.2664,0.7277,2.0365,5.8375,4.3912,0.2533,1.7791,2.0479,8.0662,,0.0451,0.3836,0.29,0.1653,20.6706,,5211.0,0.3748,0.0656,0.2726,1.2121,Insurance,-0.6485501536521945,3.648024002625287,3.4556546694974277,2.3252169433767884,0.9323074028926256,2.1616376674767217,,,
2021-12-31,AFG,107.32989428120274,0.1251,5240.0,20.830882352941178,8.0662,5.5059,4.1765,9802.4,0.4072,21.6471,,,0.0656,0.2726,0.3748,-0.1206,-0.1658,0.202,0.2664,0.7277,2.0365,5.8375,4.3912,0.2533,1.7791,2.0479,8.0662,,0.0451,0.3836,0.29,0.1653,20.6706,,5211.0,0.3748,0.0656,0.2726,1.2121,Insurance,-0.6485501536521945,3.648024002625287,3.4556546694974277,2.3252169433767884,0.9323074028926256,2.1616376674767217,,,
2021-12-31,AFG,107.32989428120274,0.1251,5240.0,20.830882352941178,8.0662,5.5059,4.1765,9802.4,0.4072,21.6471,,,0.0656,0.2726,0.3748,-0.1206,-0.1658,0.202,0.2664,0.7277,2.0365,5.8375,4.3912,0.2533,1.7791,2.0479,8.0662,,0.0451,0.3836,0.29,0.1653,20.6706,,5211.0,0.3748,0.0656,0.2726,1.2121,Insurance,-0.6485501536521945,3.648024002625287,3.4556546694974277,2.3252169433767884,0.9323074028926256,2.1616376674767217,,,
2021-12-31,AFG,107.32989428120274,0.1251,5240.0,20.830882352941178,8.0662,5.5059,4.1765,9802.4,0.4072,21.6471,,,0.0656,0.2726,0.3748,-0.1206,-0.1658,0.202,0.2664,0.7277,2.0365,5.8375,4.3912,0.2533,1.7791,2.0479,8.0662,,0.0451,0.3836,0.29,0.1653,20.6706,,5211.0,0.3748,0.0656,0.2726,1.2121,Insurance,-0.6485501536521945,3.648024002625287,3.4556546694974277,2.3252169433767884,0.9323074028926256,2.1616376674767217,,,
2021-12-31,AFG,107.32989428120274,0.1251,5240.0,20.830882352941178,8.0662,5.5059,4.1765,9802.4,0.4072,21.6471,,,0.0656,0.2726,0.3748,-0.1206,-0.1658,0.202,0.2664,0.7277,2.0365,5.8375,4.3912,0.2533,1.7791,2.0479,8.0662,,0.0451,0.3836,0.29,0.1653,20.6706,,5211.0,0.3748,0.0656,0.2726,1.2121,Insurance,-0.6485501536521945,3.648024002625287,3.4556546694974277,2.3252169433767884,0.9323074028926256,2.1616376674767217,,,
