,ticker,date_m,sentiment_avg_m,sentiment_num_m,sentiment_sd_m,date_q,sentiment_avg_q,sentiment_num_q,sentiment_sd_q
3205,CRI,2024-05-31,1.0,11,0.4472135954999579,2024-06-30 23:59:59.999999999,1.1612903225806452,31,0.522607194334227
3206,CRI,2024-06-30,1.4545454545454546,11,0.5222329678670935,2024-06-30 23:59:59.999999999,1.1612903225806452,31,0.522607194334227
3207,CRI,2024-07-31,0.9090909090909091,44,0.5202048710098841,2024-09-30 23:59:59.999999999,1.0,74,0.5234239225902138
3208,CRI,2024-08-31,1.1111111111111112,18,0.4714045207910317,2024-09-30 23:59:59.999999999,1.0,74,0.5234239225902138
3209,CRI,2024-09-30,1.1666666666666667,12,0.5773502691896257,2024-09-30 23:59:59.999999999,1.0,74,0.5234239225902138
3210,CRI,2024-10-31,1.0,60,0.41169348479630913,2024-12-31 23:59:59.999999999,1.035294117647059,85,0.5220622756030577
3211,CRI,2024-11-30,1.0666666666666667,15,0.7037315505489968,2024-12-31 23:59:59.999999999,1.035294117647059,85,0.5220622756030577
3212,CRI,2024-12-31,1.2,10,0.7888106377466155,2024-12-31 23:59:59.999999999,1.035294117647059,85,0.5220622756030577
3213,CRI,2025-01-31,0.4,5,0.5477225575051661,2025-03-31 23:59:59.999999999,0.4,5,0.5477225575051661
3214,CRK,2024-02-29,1.3333333333333333,6,0.5163977794943222,2024-03-31 23:59:59.999999999,1.1379310344827587,29,0.4411136823860458
3215,CRK,2024-03-31,1.0869565217391304,23,0.41702882811414954,2024-03-31 23:59:59.999999999,1.1379310344827587,29,0.4411136823860458
3216,CRK,2024-04-30,0.8125,16,0.4031128874149275,2024-06-30 23:59:59.999999999,0.9636363636363636,55,0.42876378559573325
3217,CRK,2024-05-31,1.0,25,0.5,2024-06-30 23:59:59.999999999,0.9636363636363636,55,0.42876378559573325
3218,CRK,2024-06-30,1.0714285714285714,14,0.2672612419124244,2024-06-30 23:59:59.999999999,0.9636363636363636,55,0.42876378559573325
3219,CRK,2024-07-31,0.8947368421052632,19,0.45883146774112354,2024-09-30 23:59:59.999999999,0.9423076923076923,52,0.30764516984328466
3220,CRK,2024-08-31,0.9375,16,0.24999999999999997,2024-09-30 23:59:59.999999999,0.9423076923076923,52,0.30764516984328466
3221,CRK,2024-09-30,1.0,17,0.0,2024-09-30 23:59:59.999999999,0.9423076923076923,52,0.30764516984328466
