symbol,date,marketCap
CZWI,2023-10-03,95635813.0
CZWI,2023-10-02,99081208.0
CZWI,2023-09-29,100512000.0
CZWI,2023-09-28,98313300.0
CZWI,2023-09-27,97999200.0
CZWI,2023-09-26,98836800.0
CZWI,2023-09-25,100197900.0
CZWI,2023-09-22,102187200.0
CZWI,2023-09-21,101873100.0
CZWI,2023-09-20,103653000.0
CZWI,2023-09-19,104176500.0
CZWI,2023-09-18,106479900.0
CZWI,2023-09-15,107108100.0
CZWI,2023-09-14,106165800.0
CZWI,2023-09-13,105223500.0
CZWI,2023-09-12,105956399.0
CZWI,2023-09-11,107841000.0
CZWI,2023-09-08,107945700.0
CZWI,2023-09-07,107945700.0
CZWI,2023-09-06,108992700.0
CZWI,2023-09-05,109516200.0
CZWI,2023-09-01,109411500.0
CZWI,2023-08-31,108573899.0
CZWI,2023-08-30,108469200.0
CZWI,2023-08-29,109830300.0
CZWI,2023-08-28,108050400.0
CZWI,2023-08-25,107317500.0
CZWI,2023-08-24,107526900.0
CZWI,2023-08-23,107945700.0
CZWI,2023-08-22,106375200.0
CZWI,2023-08-21,106375200.0
CZWI,2023-08-18,106270500.0
CZWI,2023-08-17,107108100.0
CZWI,2023-08-16,105851700.0
CZWI,2023-08-15,106270500.0
CZWI,2023-08-14,106375200.0
CZWI,2023-08-11,106061100.0
CZWI,2023-08-10,105747000.0
CZWI,2023-08-09,106794000.0
CZWI,2023-08-08,107317500.0
CZWI,2023-08-07,107736299.0
CZWI,2023-08-04,107736299.0
CZWI,2023-08-03,106584600.0
CZWI,2023-08-02,106479900.0
CZWI,2023-08-01,107108100.0
CZWI,2023-07-31,107526900.0
CZWI,2023-07-28,105956399.0
CZWI,2023-07-27,109097400.0
CZWI,2023-07-26,108259800.0
CZWI,2023-07-25,105747000.0
CZWI,2023-07-24,104595300.0
CZWI,2023-07-21,103234200.0
CZWI,2023-07-20,105014100.0
CZWI,2023-07-19,104385900.0
CZWI,2023-07-18,99988500.0
CZWI,2023-07-17,96324000.0
CZWI,2023-07-14,95800500.0
CZWI,2023-07-13,98208600.0
CZWI,2023-07-12,97789800.0
CZWI,2023-07-11,94125300.0
CZWI,2023-07-10,93706500.0
CZWI,2023-07-07,94125300.0
CZWI,2023-07-06,95905200.0
CZWI,2023-07-05,95067600.0
CZWI,2023-07-03,94962900.0
CZWI,2023-06-30,92659500.0
CZWI,2023-06-29,91787280.0
CZWI,2023-06-28,91682500.0
CZWI,2023-06-27,92730300.0
CZWI,2023-06-26,93149420.0
CZWI,2023-06-23,91682500.0
CZWI,2023-06-22,93149420.0
CZWI,2023-06-21,93254200.0
CZWI,2023-06-20,93254200.0
CZWI,2023-06-16,93149420.0
CZWI,2023-06-15,91787280.0
CZWI,2023-06-14,90844260.0
CZWI,2023-06-13,92939859.0
CZWI,2023-06-12,92311180.0
CZWI,2023-06-09,92206400.0
CZWI,2023-06-08,92101619.0
CZWI,2023-06-07,91892060.0
CZWI,2023-06-06,90844260.0
CZWI,2023-06-05,91682500.0
CZWI,2023-06-02,91158600.0
CZWI,2023-06-01,89377340.0
CZWI,2023-05-31,89167780.0
CZWI,2023-05-30,90110800.0
CZWI,2023-05-26,89691680.0
CZWI,2023-05-25,88958220.0
CZWI,2023-05-24,89377340.0
CZWI,2023-05-23,85919600.0
CZWI,2023-05-22,85395700.0
CZWI,2023-05-19,85605260.0
CZWI,2023-05-18,84033560.0
CZWI,2023-05-17,81204500.0
CZWI,2023-05-16,81309280.0
CZWI,2023-05-15,83195320.0
CZWI,2023-05-12,82985760.0
CZWI,2023-05-11,82252300.0
CZWI,2023-05-10,83719220.0
CZWI,2023-05-09,84033560.0
CZWI,2023-05-08,88119980.0
CZWI,2023-05-05,91787280.0
CZWI,2023-05-04,91787280.0
CZWI,2023-05-03,101112700.0
CZWI,2023-05-02,102684400.0
CZWI,2023-05-01,105618240.0
CZWI,2023-04-28,105618240.0
CZWI,2023-04-27,104465660.0
CZWI,2023-04-26,103208300.0
CZWI,2023-04-25,108342520.0
CZWI,2023-04-24,109704660.0
CZWI,2023-04-21,109809440.0
CZWI,2023-04-20,111066800.0
CZWI,2023-04-19,111381140.0
CZWI,2023-04-18,111066800.0
CZWI,2023-04-17,112219380.0
CZWI,2023-04-14,112114600.0
CZWI,2023-04-13,112114600.0
CZWI,2023-04-12,112009820.0
CZWI,2023-04-11,110647680.0
CZWI,2023-04-10,110647680.0
CZWI,2023-04-06,111590700.0
CZWI,2023-04-05,110857240.0
CZWI,2023-04-04,110647680.0
CZWI,2023-04-03,111276359.0
