,buy,hold,period,sell,strongBuy,strongSell,symbol
0,0,3,2024-01-01,1,0,2,WSBF
0,0,3,2023-12-01,1,0,2,WSBF
0,0,3,2023-11-01,1,0,2,WSBF
0,0,3,2023-10-01,1,0,2,WSBF
0,7,3,2025-02-01,1,2,0,BAP
0,7,3,2025-01-01,1,2,0,BAP
0,7,2,2024-12-01,1,3,0,BAP
0,7,2,2024-11-01,1,3,0,BAP
0,5,1,2025-02-01,0,3,0,CDXC
0,6,1,2025-01-01,0,3,0,CDXC
0,6,1,2024-12-01,0,3,0,CDXC
0,6,1,2024-11-01,0,3,0,CDXC
0,11,7,2025-02-01,1,6,1,FER.MC
0,10,7,2025-01-01,1,6,1,FER.MC
0,10,8,2024-12-01,1,5,1,FER.MC
0,10,7,2024-11-01,1,5,1,FER.MC
0,11,6,2025-02-01,1,5,0,CM.TO
0,12,7,2025-01-01,1,5,0,CM.TO
0,12,7,2024-12-01,1,5,1,CM.TO
0,11,8,2024-11-01,1,5,1,CM.TO
0,8,11,2025-02-01,0,6,0,PK
0,8,11,2025-01-01,0,6,0,PK
0,8,11,2024-12-01,0,6,0,PK
0,8,11,2024-11-01,0,6,0,PK
0,11,5,2025-02-01,0,7,0,SW
0,10,5,2025-01-01,0,7,0,SW
0,10,5,2024-12-01,0,6,0,SW
0,11,5,2024-11-01,0,6,0,SW
0,4,1,2023-11-01,0,2,0,BSFC
0,4,1,2023-10-01,0,2,0,BSFC
0,4,1,2023-09-01,0,2,0,BSFC
0,4,1,2023-08-01,0,2,0,BSFC
0,3,1,2025-02-01,0,1,0,ULY
0,3,1,2025-01-01,0,1,0,ULY
0,3,1,2024-12-01,0,1,0,ULY
0,3,1,2024-11-01,0,1,0,ULY
0,3,1,2025-02-01,0,1,0,BFS
0,3,1,2025-01-01,0,1,0,BFS
0,3,1,2024-12-01,0,1,0,BFS
0,3,1,2024-11-01,0,1,0,BFS
0,6,6,2025-02-01,0,3,0,EXP
0,5,6,2025-01-01,0,4,0,EXP
0,5,5,2024-12-01,0,5,0,EXP
0,5,5,2024-11-01,0,5,0,EXP
0,4,13,2025-02-01,0,6,0,SPG
0,4,14,2025-01-01,0,5,0,SPG
0,4,13,2024-12-01,0,5,0,SPG
0,4,13,2024-11-01,0,5,0,SPG
0,4,1,2023-10-01,0,2,0,SWAG
0,4,1,2023-09-01,0,2,0,SWAG
0,4,1,2023-08-01,0,2,0,SWAG
0,4,1,2023-07-01,0,2,0,SWAG
0,4,4,2025-02-01,0,3,0,GOOD
