,date,exchange,name,numberOfShares,price,status,symbol,totalSharesValue
0,2024-11-01,NASDAQ Global,Bleichroeder Acquisition Corp. I,25000000,10.00,priced,BACQU,250000000.0
0,2024-10-31,,Republic Power Group Ltd,,,withdrawn,,
0,2024-10-31,,GrowHub Ltd,,,filed,TGHL,15668750.0
0,2024-10-29,NASDAQ Capital,Gelteq Ltd,1300000,4.00,priced,GELS,5200000.0
0,2024-10-29,NASDAQ Capital,Polyrizon Ltd.,958903,4.38,priced,PLRZ,4199995.0
0,2024-10-29,,Transten Global Group Ltd,,,filed,TTG,10000000.0
0,2024-10-28,,Breathe BioMedical Inc.,,,withdrawn,,
0,2024-10-28,,APRINOIA Therapeutics Inc.,,,withdrawn,,
0,2024-10-25,NASDAQ Global,"Septerna, Inc.",16000000,18.00,priced,SEPN,288000000.0
0,2024-10-25,NASDAQ Global Select,WeRide Inc.,7742400,15.50,priced,WRD,120007200.0
0,2024-10-24,NASDAQ Global,Oaktree Acquisition Corp. III Life Sciences,17500000,10.00,priced,OACCU,175000000.0
0,2024-10-24,NYSE,Ingram Micro Holding Corp,18600000,22.00,priced,INGM,409200000.0
